"","Site","SampleID","Sex","Family","Morphospecies","X","Size","Habitat","Period","SiteID"
"1196","7H",2010,"","Halictidae","Lasioglossum nigroviride","","Small","Soil",4,"14"
"1197","7H",1069,"F","Apidae","Bombus impatience","","Large","Cavity",2,"14"
"1198","7H",2200,"","Colletidae","Hylaeus unk sp.","","Small","Soil",3,"14"
"1199","7H",2079,"","Halictidae","Lasioglossum taylorae","","Small","Soil",5,"14"
"1200","7H",2136,"","Halictidae","Lasioglossum cattelae","","Small","Soil",5,"14"
"1201","7H",1689,"","Halictidae","Halictus ligatus","Female","Small","Soil",4,"14"
"1202","7H",1288,"M","Apidae","Melissodes trinodis","","Large","Soil",5,"14"
"1203","7H",1870,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"14"
"1204","7H",1607,"F","Halictidae","Agapostemon virescens","","Medium","Soil",4,"14"
"1205","7H",1377,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",3,"14"
"1206","7H",1603,"F","Halictidae","Agapostemon virescens","","Medium","Soil",5,"14"
"1207","7H",1081,"F","Apidae","Bombus impatience","","Large","Cavity",5,"14"
"1208","7H",1067,"F","Apidae","Bombus impatience","","Large","Cavity",6,"14"
"1209","7H",1325,"M","Apidae","Eucera atriventris","Melissodes G – dark body, yellow fuz on thorax and first set of abd usually","Large","Soil",4,"14"
"1210","7H",1098,"F","Apidae","Bombus griseocollis","","Large","Cavity",5,"14"
"1211","7H",1906,"","Halictidae","Lasioglossum leucozonium","","Medium","Soil",5,"14"
"1212","7H",1590,"F","Halictidae","Agapostemon virescens","","Medium","Soil",1,"14"
"1213","7H",1605,"F","Halictidae","Agapostemon virescens","","Medium","Soil",6,"14"
"1214","7H",1591,"F","Halictidae","Agapostemon virescens","","Medium","Soil",1,"14"
"1215","7H",1833,"","Colletidae","Colletes spp.","","Medium","Soil",1,"14"
"1216","7H",1986,"","Halictidae","Lasioglossum weemsi","","Small","Soil",2,"14"
"1217","7H",2172,"","Halictidae","Lasioglossum coreopsis","","Small","Soil",5,"14"
"1218","7H",1311,"F","Apidae","Eucera atriventris","Melissodes F – yellow fuzz torax and first abd segment and face, orange femur scopa","Large","Soil",6,"14"
"1219","7H",1957,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",3,"14"
"1220","7L",1946,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",5,"13"
"1221","7L",2057,"","Halictidae","Lasioglossum zephyrum","","Small","Soil",5,"13"
"1222","7L",1817,"","Colletidae","Colletes spp.","","Medium","Soil",5,"13"
"1223","7L",2061,"","Halictidae","Lasioglossum obscurum","","Small","Soil",5,"13"
"1224","7L",1536,"","Andrenidae","Andrena phaceliae","Female","Medium","Soil",1,"13"
"1225","7L",2138,"","Halictidae","Lasioglossum zephyrum","","Small","Soil",4,"13"
"1226","7L",1543,"","Andrenidae","Lasioglossum lineatulum","","Medium","Soil",6,"13"
"1227","7L",1671,"","Halictidae","Lasioglossum spp.","","Small","Soil",5,"13"
"1228","7L",2124,"","Halictidae","Lasioglossum illinoense","","Small","Soil",5,"13"
"1229","7L",2263,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",2,"13"
"1230","7L",1969,"","Halictidae","Lasioglossum spp.","","Medium","Soil",3,"13"
"1231","7L",1690,"","Halictidae","Lasioglossum bruneri","","Small","Soil",1,"13"
"1232","7L",1813,"","Colletidae","Colletes spp.","","Medium","Soil",6,"13"
"1233","7L",2233,"","Halictidae","Sphecodes spp.","","Small","Soil",5,"13"
"1234","7L",1540,"","Andrenidae","Andrena crataegi","Female","Medium","Soil",2,"13"
"1235","7L",2193,"","Halictidae","Lasioglossum ellisiae","","Small","Soil",2,"13"
"1236","7L",2105,"","Halictidae","Unk. Bee – partial specimen","","Small","Soil",5,"13"
"1237","7L",2331,"","Colletidae","Hylaeus annulatus","Female","tiny","Wood",1,"13"
"1238","7L",1123,"F","Apidae","Ceratina dupla","","Small","Wood",2,"13"
"1239","7L",2333,"","Colletidae","Hylaeus affinus","Female","tiny","Wood",5,"13"
"1240","8H",1253,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"16"
"1241","8H",2177,"","Halictidae","Lasioglossum spp.","","Small","Soil",5,"16"
"1242","8H",1981,"","Halictidae","Lasioglossum lineatulum","","Small","Soil",2,"16"
"1243","8H",2042,"","Halictidae","Lasioglossum spp.","","Small","Soil",2,"16"
"1244","8H",2059,"","Halictidae","Lasioglossum platatum","","Small","Soil",5,"16"
"1245","8H",1982,"","Halictidae","Lasioglossum obscurum","","Small","Soil",2,"16"
"1246","8H",1839,"","Colletidae","Colletes spp.","","Medium","Soil",6,"16"
"1247","8H",1265,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"16"
"1248","8H",1257,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"16"
"1249","8H",1867,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",1,"16"
"1250","8H",1259,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"16"
"1251","8H",2043,"","Halictidae","Lasioglossum bruneri","","Small","Soil",5,"16"
"1252","8H",1448,"M","Halictidae","Agapostemon virescens","","Medium","Soil",5,"16"
"1253","8H",2178,"","Halictidae","Lasioglossum michiganense","","Small","Soil",2,"16"
"1254","8H",1927,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",1,"16"
"1255","8H",1951,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"16"
"1256","8H",2160,"","Halictidae","Lasioglossum bruneri","","Small","Soil",3,"16"
"1257","8H",2157,"","Halictidae","Lasioglossum spp.","","Small","Soil",3,"16"
"1258","8H",1877,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",6,"16"
"1259","8L",1598,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"15"
"1260","8L",1588,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"15"
"1261","8L",1090,"F","Apidae","Bombus impatience","","Large","Cavity",3,"15"
"1262","8L",2103,"","Halictidae","Lasioglossum nigroviride","","Small","Soil",5,"15"
"1263","8L",1382,"","Halictidae","Agapostemon sericeus","","Medium","Soil",3,"15"
"1264","8L",1938,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",1,"15"
"1265","8L",1910,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",1,"15"
"1266","8L",2026,"","Halictidae","Lasioglossum zephyrum","","Small","Soil",5,"15"
"1267","8L",2055,"","Halictidae","Lasioglossum platatum","","Small","Soil",5,"15"
"1268","8L",1404,"","Halictidae","Augochlorella aurata","","Medium","Soil",4,"15"
"1269","8L",1908,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"15"
"1270","8L",1730,"","Megachilidae","Megachile mendica","Female","Medium","Wood",3,"15"
"1271","8L",2012,"","Halictidae","Lasioglossum lineatulum","","Small","Soil",5,"15"
"1272","8L",2068,"","Halictidae","Lasioglossum zephyrum","","Small","Soil",5,"15"
"1273","9H",2102,"","Halictidae","Lasioglossum platatum","","Small","Soil",5,"18"
"1274","9H",2195,"","Halictidae","Lasioglossum michiganense","","Small","Soil",2,"18"
"1275","9H",2149,"","Halictidae","Lasioglossum zephyrum","","Small","Soil",3,"18"
"1276","9H",1780,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",6,"18"
"1277","9H",1573,"F","Halictidae","Agapostemon virescens","","Medium","Soil",6,"18"
"1278","9H",1774,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",2,"18"
"1279","9H",1983,"","Halictidae","Halictus confusus","","Small","Soil",3,"18"
"1280","9H",1840,"","Colletidae","Colletes spp.","","Medium","Soil",3,"18"
"1281","9L",1778,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",5,"17"
"1282","9L",1801,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",4,"17"
"1283","9L",1772,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",6,"17"
"1284","9L",1800,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",6,"17"
"1285","9L",1802,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",6,"17"
"1286","9L",1805,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",2,"17"
"1287","9L",1804,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",6,"17"
"1288","9L",1779,"","Megachilidae","Lasioglossum spp.","","Medium","Soil",4,"17"
"1289","9L",1883,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",1,"17"
"1290","9L",1776,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",6,"17"
"1291","9L",1651,"","Halictidae","Halictus rubicundus","","Medium","Soil",5,"17"
"1292","9L",1556,"","Andrenidae","Andrena erythronii","","Small","Soil",1,"17"
"1293","9L",1732,"","Megachilidae","Megachile relativa","","Medium","Wood",6,"17"
"1294","9L",1806,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",2,"17"
"1295","9L",1788,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",6,"17"
"1296","9L",1599,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"17"
"1297","9L",1494,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"17"
"1298","9L",1922,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",2,"17"
"1299","9L",1926,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",1,"17"
"1300","9L",1770,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",6,"17"
"1301","9L",1768,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",6,"17"
"1302","9L",1496,"F","Halictidae","Agapostemon virescens","","Medium","Soil",2,"17"
"1303","9L",2039,"","Halictidae","Lasioglossum smilacinae","","Small","Soil",1,"17"
"1304","9L",1769,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",4,"17"
"1305","9L",1812,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",6,"17"
"1306","9L",1601,"F","Halictidae","Agapostemon virescens","","Medium","Soil",3,"17"
"1307","9L",1777,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",5,"17"
"1308","9L",1254,"F","Apidae","Melissodes bimaculatus","","Large","Soil",5,"17"
"1309","9L",1775,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",6,"17"
"1310","9L",2050,"","Halictidae","Lasioglossum anomalum","","Small","Soil",5,"17"
"1311","9L",1808,"","Megachilidae","Anthidium manicatum","Female","Medium","Wood",6,"17"
"1312","9L",1863,"","Halictidae","Lasioglossum coriaceum","","Medium","Soil",1,"17"
"1313","9L",1713,"","Halictidae","Halictus parallelus","","Small","Soil",5,"17"
"1314","9L",2077,"","Halictidae","Lasioglossum imatatum","","Small","Soil",5,"17"
